025-01-20 00:20:47,005 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 14:18:36,935 - doc_processing_api - ERROR - Erreur lors de l'analyse du CV Moussa THIOR - CV 2.docx: Erreur lors du traitement du CV: Type de document non supportï¿½: word
2025-01-20 14:18:36,935 - doc_processing_api - ERROR - Erreur lors de l'analyse du CV Moussa THIOR - CV 2.docx: Erreur lors du traitement du CV: Type de document non supportï¿½: word
2025-01-20 14:18:36,935 - doc_processing_api - ERROR - Erreur lors de l'analyse du CV Moussa THIOR - CV 2.docx: Erreur lors du traitement du CV: Type de document non supportï¿½: word
2025-01-20 14:18:36,936 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 14:18:36,936 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 14:18:36,936 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 400
2025-01-20 14:22:30,043 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:22:30,043 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:22:30,043 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 14:22:30,076 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:22:30,076 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:22:30,076 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:22:33,281 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:22:33,281 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:22:33,281 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:22:33,282 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 14:22:33,282 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 14:22:33,282 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 14:25:06,556 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 14:25:06,556 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 14:25:06,556 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 14:25:06,558 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:25:06,558 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:25:06,558 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:25:07,891 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:25:07,891 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:25:07,891 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Moussa_THIOR_CV_V4.pdf
2025-01-20 14:25:07,893 - doc_processing_api - INFO - Request completed: POST http://localhost:8001/api/v1/cv/analyze - Status: 200
2025-01-20 14:25:07,893 - doc_processing_api - INFO - Request completed: POST http://localhost:8001/api/v1/cv/analyze - Status: 200
2025-01-20 14:25:07,893 - doc_processing_api - INFO - Request completed: POST http://localhost:8001/api/v1/cv/analyze - Status: 200
2025-01-20 14:25:23,772 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 14:25:23,772 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 14:25:23,772 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 14:25:23,775 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:25:23,775 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:25:23,775 - doc_processing_api - INFO - Dï¿½but de l'analyse du CV: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:25:26,631 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:25:26,631 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:25:26,631 - doc_processing_api - INFO - Analyse du CV rï¿½ussie: Black White Minimalist CV Resume (1).pdf
2025-01-20 14:25:26,632 - doc_processing_api - INFO - Request completed: POST http://localhost:8001/api/v1/cv/analyze - Status: 200
2025-01-20 14:25:26,632 - doc_processing_api - INFO - Request completed: POST http://localhost:8001/api/v1/cv/analyze - Status: 200
